"Id","Group","Key","en","ar"
"89","admin","table.REDIS_PASSWORD","REDIS_PASSWORD","REDIS_PASSWORD"
"90","admin","table.REDIS_PORT","REDIS_PORT","REDIS_PORT"
"91","admin","table.primary_color","Primary Color","Primary Color"
"92","admin","table.secondary_color","Secondary Color","Secondary Color"
"93","admin","table.accent_color","Accent Color","Accent Color"
"94","admin","table.error_color","Error Color","Error Color"
"95","admin","table.info_color","Info Color","Info Color"
"96","admin","table.success_color","Success Color","Success Color"
"97","admin","table.warning_color","Warning Color","Warning Color"
"98","admin","table.default_language","Default Language","Default Language"
"99","admin","table.supported_languages","Supported Languages","Supported Languages"
"100","admin","settings.translations.index","Translations","Translations"
"101","admin","settings.translations.edit","Edit","Edit"
"102","admin","table.timezone","Timezone","Timezone"
"103","admin","table.login_bg","Login Background","Login Background"
"104","admin","table.from_address","From Address","From Address"
"105","admin","table.from_name","From Name","From Name"
"106","admin","table.enabled","Enabled","Enabled"
"107","admin","table.driver","Driver","Driver"
"108","admin","table.connection","Connection","Connection"
"109","admin","table.default","Default","Default"
"110","admin","table.secret","Secret","Secret"
"111","admin","table.app_id","App ID","App ID"
"112","admin","table.locale_language","Locale Language","Locale Language"
"113","admin","table.fallback_locale_language","Fallback Locale Language","Fallback Locale Language"
"114","admin","table.debug","Debug","Debug"
"115","admin","logs.index","System Logs",""
"116","admin","settings.general.index","General",""
"117","admin","backup.index","Backups",""
"118","admin","backups.index","Backups",""
"119","admin","categories.index","Categories",""
